user_id,product,price,purchase_date,country,payment_method
4ef39bcc-c707-4af2-a585-e6d471e49c93,Phone,164.75,2026-01-05,Martinique,crypto
f71e7a2c-0529-45d2-ac79-72120a392579,Tablet,1508.57,2026-01-09,Reunion,credit_card
272e08f8-a784-4c0f-8e74-4f78636df7d1,Laptop,275.6,2026-02-15,Argentina,credit_card
8c94c96f-8426-4ebe-a9a7-e0a25f815067,Laptop,1293.34,2026-02-12,Cayman Islands,crypto
aa4d1baf-e8b4-46ab-a02b-6cb09923a27a,Camera,16.99,2026-01-04,Greece,crypto
5eada59e-52c5-4de6-bd98-10676837f793,Tablet,1526.31,2026-01-02,Mongolia,credit_card
ed03a813-6939-4a20-8e6a-bb818e3b6d49,Laptop,1564.99,2026-01-01,Sudan,crypto
f012b2f5-f565-4da8-b82c-7a434cafc741,Camera,288.16,2026-01-22,Comoros,credit_card
05412167-a2cd-41db-a8f7-2b775d983d91,Tablet,972.72,2026-03-03,Thailand,crypto
360c2aca-5850-4756-95e8-aae392e0251c,Phone,144.28,2026-01-24,Uganda,crypto
10406933-077c-4c7f-ab59-26a53e5682ac,Camera,988.38,2026-01-08,Burkina Faso,paypal
8aaabefb-faeb-4eaf-a55c-6d9a52a15bc9,Phone,76.22,2026-01-27,Brunei Darussalam,paypal
06f73829-0e2f-4abd-9309-d5cf2b92eb66,Laptop,71.87,2026-02-26,Western Sahara,paypal
45462158-4b38-444b-98ab-18f83e2450e7,Laptop,765.19,2026-02-16,Korea,credit_card
040cc2e4-cf1c-4ba7-bd40-f01497112b7c,Camera,1109.15,2026-01-08,Cape Verde,credit_card
f40292e0-d1df-4331-834b-1254a25fdd89,Tablet,1343.1,2026-01-14,Guinea-Bissau,credit_card
4d4ca674-4d3c-4172-95be-5187856db004,Camera,1136.81,2026-02-21,Chad,crypto
dedb004d-8d2e-43a5-b4eb-be0d5a8bf9b3,Laptop,1123.7,2026-01-28,Malawi,crypto
658aca0e-3541-4238-8097-6601c88df4e2,Tablet,1746.35,2026-02-24,Burundi,credit_card
1381c943-44a1-4b1d-8a5d-67b760862766,Camera,370.24,2026-02-27,Bolivia,crypto
2946e29e-d1df-4620-b9cf-fe2980912157,Tablet,787.99,2026-02-07,Guinea,credit_card
84ae9f82-0ead-41e7-9c48-97ace6bb3ad2,Tablet,204.56,2026-02-19,Sweden,paypal
668a04c4-7a04-4d3f-924c-ffa078d59e09,Phone,27.79,2026-02-24,Djibouti,paypal
b7b46c18-a87c-4b04-aeee-95bbb0872e49,Tablet,915.9,2026-01-06,Mauritania,credit_card
494b0514-3691-4495-a7a2-c25bd6a3623c,Laptop,1700.5,2026-02-12,Kuwait,paypal
69e8d570-9a70-4179-b6a0-b07c437890a7,Laptop,432.69,2026-01-21,Slovenia,crypto
fd2b3f80-ce52-487a-9929-a12a7e4cdce7,Phone,1032.21,2026-02-03,Vietnam,paypal
960fdc11-5696-4faa-9bc3-f1db1a7c2508,Camera,1864.26,2026-02-07,Yemen,paypal
455999f7-af7e-4699-b0eb-db3b27c3d059,Tablet,1058.7,2026-01-07,United States Minor Outlying Islands,credit_card
d0f8caf2-b452-4f7e-a759-317ebd6132ab,Camera,37.96,2026-01-11,Thailand,crypto
9abb332a-cb3a-44b5-b234-9455b9291664,Tablet,1995.94,2026-02-04,Fiji,paypal
821de3ae-21e9-4c11-87d6-f33487200385,Tablet,1091.35,2026-03-05,North Macedonia,paypal
a272c80c-857b-4b07-b0d4-34ea6ec5640c,Phone,1429.92,2026-01-13,Mauritania,credit_card
